OId;boxId;weight;length;diameter;Dismeter 2
1;7;5.83;30.15;19.10;16.61
2;7;5.85;25.31;20.80;18.62
3;7;6.65;30.41;19.81;17.32
4;7;7.08;29.33;21.08;18.01
5;7;7.18;31.05;19.57;18.56
6;7;7.21;33.74;19.51;18.80
7;7;7.70;30.38;21.40;18.04
8;7;7.74;33.80;20.56;18.29
9;7;7.95;31.20;20.81;19.07
10;7;8.05;32.67;21.01;19.01
11;7;8.14;31.91;21.11;19.41
12;7;8.18;31.47;21.56;19.25
13;7;8.23;33.54;19.69;19.64
14;7;8.27;31.31;22.21;19.33
15;7;8.29;35.02;20.42;18.88
16;7;8.79;34.00;20.95;20.73
17;7;9.07;34.79;20.80;18.75
18;7;9.22;35.98;21.20;19.23
19;7;9.37;35.75;22.33;18.96
20;7;9.41;35.89;20.39;20.10
21;7;9.68;34.19;22.37;21.87
22;7;9.74;33.74;22.58;21.27
23;7;9.85;34.87;22.80;19.65
24;7;9.86;33.26;23.76;21.13
25;7;9.89;37.26;20.58;19.69
26;7;10.03;31.67;22.99;21.74
27;7;10.15;35.35;22.64;21.66
28;7;10.25;36.14;22.46;20.36
29;7;10.27;34.73;23.12;20.54
30;7;10.36;37.27;22.48;19.41
31;7;10.37;35.21;23.03;21.57
32;7;10.39;35.42;23.94;19.97
33;7;10.44;36.95;23.85;20.80
34;7;10.59;37.12;23.13;20.24
35;7;10.70;35.95;22.31;20.13
36;7;10.73;38.97;21.55;20.38
37;7;10.74;36.43;21.58;20.52
38;7;10.89;34.82;23.14;22.61
39;7;11.15;39.01;22.44;20.18
40;7;11.25;36.29;23.46;20.41
41;7;11.32;39.14;22.67;18.27
42;7;11.36;35.64;22.88;22.37
43;7;11.54;37.65;23.19;20.84
44;7;11.58;37.50;23.61;21.75
45;7;11.82;36.13;24.08;22.51
46;7;12.00;38.04;24.01;20.02
47;7;12.57;40.15;22.89;22.39
48;7;12.92;34.68;25.66;22.97
49;7;13.04;39.26;24.51;20.49
50;7;13.33;39.00;25.24;22.60
51;7;13.69;35.98;25.94;23.21
