OId,boxId,weight,length,diameter
1,5,11.67,3.27,2.75
2,5,10.14,3.25,2.46
3,5,9.79,3.05,2.46
4,5,10.59,3.13,2.55
5,5,10.13,2.95,2.55
6,5,10.92,3.2,2.47
7,5,11.32,3.19,2.52
8,5,8.87,2.82,2.41
9,5,7.44,2.68,2.26
10,5,11.34,3.44,2.5
11,5,11.4,3.32,2.51
12,5,10.22,3,2.54
13,5,9.32,2.74,2.47
14,5,10.33,2.85,2.44
15,5,12.47,3.31,2.63
16,5,7.7,2.81,2.25
17,5,11.22,3.04,2.53
18,5,9.92,2.98,2.49
19,5,9.79,2.91,2.47
20,5,9.38,3.06,2.41
21,5,7.49,2.75,2.17
22,5,10.86,2.96,2.41
23,5,11.41,3.11,2.57
24,5,9.17,2.95,2.42
25,5,8.96,2.65,2.49
26,5,9.64,2.85,2.5
27,5,11.59,3.36,2.57
28,5,9.2,2.92,2.32
29,5,10.23,3.36,2.42
30,5,10.33,3.12,2.38
31,5,8.16,2.82,2.37
32,5,7.1,2.71,2.27
33,5,10.12,3.01,2.47
34,5,8.26,2.96,2.28
35,5,5.62,2.35,2.02
36,5,11.91,3.19,2.7
37,5,8.7,2.91,2.26
38,5,7.61,2.72,2.25
39,5,9.56,2.74,2.44
40,5,9.41,3.07,2.42
41,5,6.15,3.02,1.88
42,5,11.71,3.13,2.53
43,5,11.56,3.2,2.47
44,5,9.32,2.98,2.33
45,5,7.97,2.7,2.3
46,5,8.56,2.85,2.24
47,5,7.42,2.71,2.24
48,5,11.19,3.28,2.47
49,5,9.33,3.12,2.39
50,5,4.87,2.64,1.84
51,5,6.58,2.79,2.04
52,5,7.63,2.85,2.18
53,5,9.93,2.98,2.42
,,501.51,2.9766037735849054,2.391132075471698
,,501.26,,
