OId,boxId,weight,length,diameter,,,,,
1,6,10.14,3.19,2.59,,,,,
2,6,8.07,2.95,2.3,,,,,
3,6,6.56,2.65,2.1,,,,,
4,6,7.37,2.95,2.16,,,,,
5,6,9.25,3.25,2.29,,,,,
6,6,8.53,2.76,2.38,,,,,
7,6,10,3.17,2.37,,,,,
8,6,6.75,2.87,2.2,,,,,
9,6,5.52,2.4,2.1,,,,,
10,6,9.52,3.17,2.35,,,,,
11,6,8.44,2.87,2.38,,,,,
12,6,8.29,2.79,2.36,,,,,
13,6,10.74,3.17,2.45,,,,,
14,6,12.78,3.4,2.59,,,,,
15,6,6.32,2.51,2.2,,,,,
16,6,11.26,3.19,2.63,,,,,
17,6,10,3.24,2.48,,,,,
18,6,6.36,2.58,2.18,,,,,
19,6,10.07,2.91,2.49,,,,,
20,6,11.2,3.53,2.33,,,,,
21,6,9.81,3.02,2.48,,,,,
22,6,5.84,2.67,2.04,,,,,
23,6,10.97,3.35,2.46,,,,,
24,6,7.19,2.67,2.27,,,,,
25,6,7.69,3.25,2.08,,,,,
26,6,8.94,3.02,2.35,,,,,
27,6,11.13,3.08,2.58,,,,,
28,6,7.89,2.76,2.31,,,,,
29,6,8.15,2.85,2.28,,,,,
30,6,8.13,2.86,2.3,,,,,
31,6,9.22,3.17,2.39,,,,,
32,6,8.27,2.92,2.25,,,,,
33,6,6.55,2.58,2.25,,,,,
34,6,8.15,2.94,2.24,,,,,
35,6,10.54,3.18,2.52,,,,,
36,6,7.81,2.95,2.25,,,,,
37,6,7.72,2.75,2.26,,,,,
38,6,4.66,2.29,1.95,,,,,
39,6,9.28,2.9,2.47,,,,,
40,6,13.16,3.47,2.65,,,,,
41,6,7.27,2.77,2.3,,,,,
42,6,9.47,2.87,2.44,,,,,
43,6,10.65,3.32,2.47,,,,,
44,6,9.13,3.2,2.33,,,,,
45,6,8.87,2.93,2.4,,,,,
46,6,8.04,2.77,2.3,,,,,
47,6,7.95,2.95,2.25,,,,,
48,6,5.67,2.63,2.06,,,,,
49,6,7,2.74,2.21,,,,,
50,6,9.59,3.1,2.46,,,,,
51,6,6.88,2.66,2.19,,,,,
52,6,6.26,2.45,2.1,,,,,
53,6,6.33,2.66,2.1,,,,,
54,6,6.21,2.51,2.12,,,,,
55,6,9.81,2.97,2.37,,,,,
56,6,6.91,2.9,2.13,,,,,
57,6,7.37,2.56,2.39,,,,,
58,6,6.38,2.69,2.16,,,,,u
59,6,7.41,2.8,2.17,,,,,
60,6,9.4,3.06,2.42,,,,,
,,504.87,2.9128333333333334,2.3113333333333332,,,,,
,,504.75,,,,,,,
