Sttistics,1,2,3,4,5
Typ,Dattel,Cherry,Cherry,Cherry,Cherry
Producer,Hit,Aldi,Aldi,Aldi,Aldi
count,40,59,59,52,53
"weight mean [g]",7.5,8.206896551724139,8.227457627118644,9.576346153846153,9.46245283018868
"weight SD [g]",1.7246329970051526,1.8520602154741856,1.6031182902343568,2.121021793017579,1.7258051695684378
sum,300,476,485.42,497.96999999999997,501.51
"weight actual [g]",288.5,490,485.18,497.72,501.26
"weight actual [g] mean",7.2125,8.305084745762711,8.223389830508475,9.571538461538463,9.457735849056604
"weight target [g]",-,500,500,500,500
,,,,,
,,,,,
,,,,,
"length mean [mm]",,2.9279310344827585,2.8815254237288133,3.0565384615384614,2.9766037735849054
"length SD",,0.28897130690251266,0.28849394294156067,0.29975731762893887,0.22593347724348498
"diameter mean [mm]",,2.3191379310344824,2.2783050847457624,2.3657692307692306,2.5566666666666666
"diameter s",,0.15052288376188905,0.15247883604376847,0.17941458346572886,0.17923620403253968
