OId,boxId,weight,length,diameter
1,3,10.89,3.19,2.56
2,3,9.03,2.85,2.23
3,3,8.16,3.05,2.39
4,3,10.25,3.06,2.44
5,3,8.66,3.02,2.33
6,3,9.29,2.99,2.4
7,3,6.92,2.62,2.19
8,3,8.87,3.03,2.26
9,3,10,3.28,2.38
10,3,7.82,2.87,2.29
11,3,8.24,3.03,2.26
12,3,8.77,2.87,2.35
13,3,6.95,2.55,2.14
14,3,8.19,3.2,2.2
15,3,12,3.63,2.35
16,3,8.97,3.19,2.31
17,3,6.67,2.59,2.19
18,3,10.72,3.31,2.44
19,3,6.88,2.52,2.23
20,3,6.49,2.71,2.14
21,3,6.8,2.36,2.05
22,3,6.23,2.55,2.09
23,3,9.08,3.11,2.32
24,3,7.39,2.84,2.19
25,3,8.86,3.02,2.4
26,3,10.29,3.14,2.42
27,3,7.24,2.62,2.24
28,3,7.2,2.69,2.2
29,3,4.96,2.3,1.98
30,3,10.24,3.07,2.48
31,3,8.36,2.85,2.38
32,3,7.65,2.89,2.31
33,3,7.22,2.49,2.4
34,3,7.31,2.59,2.28
35,3,6.88,2.62,2.18
36,3,7.34,2.89,2.25
37,3,7.88,2.82,2.2
38,3,8.78,2.93,2.4
39,3,8.13,2.7,2.26
40,3,7.41,2.9,2.2
41,3,9.06,3.06,2.31
42,3,10.48,3.29,2.46
43,3,7.76,2.79,2.31
44,3,8.38,3.18,2.21
45,3,8.21,3.09,2.14
46,3,8.19,2.85,2.24
47,3,7.85,2.62,2.3
48,3,4.46,2.32,1.92
49,3,7.91,2.98,2.24
50,3,6.43,2.64,2.1
51,3,6.21,2.53,1.94
52,3,10.08,3.15,2.54
53,3,9.36,2.83,2.47
54,3,6.18,2.78,2.04
55,3,12.84,3.5,2.62
56,3,8.66,2.96,2.34
57,3,9.53,2.89,2.47
58,3,8.88,3.16,2.37
59,3,5.93,2.45,2.09
