Sttistics,1,2,3
Typ,Dattel,Cherry,Cherry
Producer,Hit,Aldi,Aldi
count,40,59,59
"weight mean [g]",7.5,8.206896551724139,8.227457627118644
"weight SD [g]",1.7246329970051526,1.8520602154741856,1.6031182902343568
sum,300,476,485.42
"weight actual [g]",288.5,490,485.18
"weight actual [g] mean",7.2125,8.305084745762711,8.223389830508475
"weight target [g]",-,500,500
,,,
,,,
,,,
"length mean [mm]",,2.9279310344827585,2.8815254237288133
"length SD",,0.28897130690251266,0.28849394294156067
"diameter mean [mm]",,2.3191379310344824,2.5799152542372883
"diameter s",,0.15052288376188905,0.15247883604376847
